2014-07-14,16950.93,17055.42
2014-07-15,17055.03,17060.68
2014-07-16,17061.91,17138.20
2014-07-17,17133.45,16976.81
2014-07-18,16978.16,17100.18
2014-07-21,17095.11,17051.73
2014-07-22,17054.97,17113.54
2014-07-23,17117.01,17086.63
2014-07-24,17092.02,17083.80
2014-07-25,17079.50,16960.57
2014-07-28,16956.91,16982.59
2014-07-29,16984.33,16912.11
2014-07-30,16920.11,16880.36
2014-07-31,16869.63,16563.30
2014-08-01,16561.70,16493.37
2014-08-04,16496.55,16569.28
2014-08-05,16559.97,16429.47
2014-08-06,16425.10,16443.34
2014-08-07,16448.29,16368.27
2014-08-08,16369.68,16553.93
2014-08-11,16557.27,16569.98
2014-08-12,16565.55,16560.54
2014-08-13,16575.76,16651.80
2014-08-14,16657.32,16713.58
2014-08-15,16717.01,16662.91
2014-08-18,16664.45,16838.74
2014-08-19,16839.06,16919.59
2014-08-20,16910.03,16979.13
2014-08-21,16983.88,17039.49
2014-08-22,17038.27,17001.22
2014-08-25,17015.22,17076.87
2014-08-26,17079.57,17106.70
2014-08-27,17111.03,17122.01
2014-08-28,17119.06,17079.57
2014-08-29,17083.42,17098.45
2014-09-02,17097.42,17067.56
2014-09-03,17067.24,17078.28
2014-09-04,17083.61,17069.58
2014-09-05,17065.89,17137.36
2014-09-08,17131.71,17111.42
2014-09-09,17110.39,17013.87
2014-09-10,17016.05,17068.71
2014-09-11,17057.41,17049.00
2014-09-12,17044.05,16987.51
2014-09-15,17031.14,17031.14
2014-09-16,17027.16,17131.97
2014-09-17,17131.01,17156.85
2014-09-18,17163.73,17265.99
2014-09-19,17267.21,17279.74
2014-09-22,17271.71,17172.68
2014-09-23,17165.91,17055.87
2014-09-24,17210.06,17210.06
2014-09-25,17204.86,16945.80
2014-09-26,16948.62,17113.15
2014-09-29,17107.69,17071.22
2014-09-30,17070.45,17042.90
2014-10-01,17040.46,16804.71
2014-10-02,16808.27,16801.05
2014-10-03,16802.20,17009.69
2014-10-06,17010.34,16991.91
2014-10-07,16988.25,16719.39
2014-10-08,16718.65,16994.22
2014-10-09,16989.37,16659.25
2014-10-10,16654.88,16544.10
2014-10-13,16535.43,16321.07
2014-10-14,16321.90,16315.19
2014-10-15,16313.30,16141.74
2014-10-16,16137.14,16117.24
2014-10-17,16118.39,16380.41
2014-10-20,16373.15,16399.67
2014-10-21,16406.03,16614.81
2014-10-22,16615.26,16461.32
2014-10-23,16468.07,16677.90
2014-10-24,16677.04,16805.41
2014-10-27,16796.10,16817.94
2014-10-28,16825.19,17005.75
2014-10-29,17005.07,16974.31
2014-10-30,16968.14,17195.42
2014-10-31,17208.78,17390.52
2014-11-03,17390.90,17366.24
2014-11-04,17368.81,17383.84
2014-11-05,17394.69,17484.53
2014-11-06,17491.66,17554.47
2014-11-07,17558.58,17573.93
2014-11-10,17568.98,17613.74
2014-11-11,17620.61,17614.90
2014-11-12,17604.75,17612.20
2014-11-13,17618.69,17652.79
2014-11-14,17653.11,17634.74
Date,Open,Close
